Strakonice,Březí,"Sdružení nezávislých kandidátů Březí I.",7,Miloslav,Straka,,59,stájník,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"STRANA NEZÁVISLÝCH KANDIDÁTŮ STOŽICE",1,Markéta,Kotrcová,Ing.,35,"vedoucí odborného výcviku Střední odborné učiliště služeb Vodňany","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"STRANA NEZÁVISLÝCH KANDIDÁTŮ STOŽICE",2,Miloslav,Madarasz,,51,"vedoucí autoservisu městské hromadné dopravy České Budějovice","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"STRANA NEZÁVISLÝCH KANDIDÁTŮ STOŽICE",3,Bohuslav,Čížek,Ing.,61,podnikatel,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"STRANA NEZÁVISLÝCH KANDIDÁTŮ STOŽICE",4,Roman,Moroz,,34,"vedoucí zdravotnické záchranné služby Jihočeského kraje na středisku ve Vodňanech","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"STRANA NEZÁVISLÝCH KANDIDÁTŮ STOŽICE",5,Radovan,Marek,,54,podnikatel,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"STRANA NEZÁVISLÝCH KANDIDÁTŮ STOŽICE",6,Marie,Tomášková,,44,dělnice,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"STRANA NEZÁVISLÝCH KANDIDÁTŮ STOŽICE",7,Jitka,Kůsová,,37,"pedagogická pracovnice","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"STRANA NEZÁVISLÝCH KANDIDÁTŮ STOŽICE",8,Petr,Beneš,,31,automechanik,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"STRANA NEZÁVISLÝCH KANDIDÁTŮ STOŽICE",9,Michal,Podzimek,,42,automechanik,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"PRO OBEC STOŽICE",1,Pavel,Honsa,,38,dělník,"Nezávislý kandidát","Bez politické příslušnosti"
